content,emoji,comment,current,href,time,comments_size
['Bill Gate từng nói tôi sẽ đưa công việc khó khăn cho những người lười vì họ sẽ làm nó nhanh nhất\nCũng là tôi khi giao cho bạn lười nhất nhóm làm slide'],"['Tất cả, 20', 'Haha, 18', 'Thích, 1', 'Yêu thích, 1']",['Trúc Ngọc vâng đó là chúng ta'],810,https://www.facebook.com/groups/1124235908231967/posts/1413640175958204/?__cft__[0]=AZUm5xey0lzDykD2T6W-2j_gDeANNvbsWQ6WyL2NhLvpyMDUi2bz9aemxQA8m93FYM0y7gja0QGbx_-_f9xvOWD_HYgYHcqNgV9ZOCcrR44nLuNK1CbSsc4B2Pjeb03eDmOjxycEWDfwNRmNpLq0ujU0KL57Wov23ZFqhC2hpkRhvPzWy32b870OwTyFxrtA1xE&__tn__=%2CO%2CP-R,"Thứ bảy, 16 Tháng 3, 2024 lúc 11:13",1
"['[ GIỮA KỲ NHẬP MÔN KẾ TOÁN ] - [ HI 48K DUE Z ]\nLà môn ác mộng của bao thế hệ sinh viên, vậy nên với tài liệu này. mình chúc các bạn thi giữa kỳ thành công nha^^^\nhttps://drive.google.com/drive/folders/1aat-tXlb9ThXQrlChmT1QaHQblK0LCfX?usp=drive_link', 'DRIVE.GOOGLE.COM\nNhập môn kế toán HI DUE Z - Google Drive']","['Tất cả, 38', 'Thích, 26', 'Yêu thích, 12']","['Có tài liệu tài chính doanh nghiệp không ad cho em xin với admin', 'Nguyễn Anh Nhan ok để tiệm xem', 'HidueZ Tiệm In Em cảm ơn ad, nếu có đang lun ck và gk nhé adminnn', 'Nguyễn Anh Nhan b cần gấp tài liệu ôn thì qua tiệm nha. Còn tài liệu bạn thì tí bọn mình rảnh mới xem đc', 'Tài liệu tiệm xịn qua lấy để về ôn ktra giữa kì các bạn nhé']",1836,https://www.facebook.com/groups/1124235908231967/posts/1412118362777052/?__cft__[0]=AZXuKHfbtyHcp-WtMcn8u9ZEf-_jNSFcmQT8olaVthqW28dS9Hul7qNgIt5JAGsAjhiiz8HF8DfNEpaGb6npIPN1RKsGRk2BM3U3bg84zl_PvKgQPNjysYNLBlyWa_gWIMXFF5r9II64xWomC4Wm7WhMy9l5KkPoz3ziQ5J6MVHp6mBxV5AKvKQwVJoe7hZVWBI&__tn__=%2CO%2CP-R,"Thứ Năm, 14 Tháng 3, 2024 lúc 19:00",5
"['[ GIỮA KỲ KINH DOANH QUỐC TẾ ] - [ HI 48K DUE Z ]\nMình gửi các bạn tài liệu thi giữa kỳ kinh doanh quốc tế nha. Đây là môn dài và phải học thuộc nhiều, vậy nên với chiếc tài liệu nhỏ xinh này, mình chúc các bạn có điểm số như ý nha.\nhttps://drive.google.com/drive/folders/1oz0wGJ-rdfncBjZS-wlsgA1iZe2dxtQ8?usp=drive_link', 'DRIVE.GOOGLE.COM\nKDQT HI DUE Z - Google Drive']","['Tất cả, 42', 'Thích, 29', 'Yêu thích, 13']","['Có tài liệu bằng tiếng anh hong ạ', 'Lê Na có nhaaa. Bạn cần tài liệu gấp thì qua tiệm lấy nha.']",2451,https://www.facebook.com/groups/1124235908231967/posts/1412117169443838/?__cft__[0]=AZXtkEoykEFDqT6ysIFgUHWOPHmOrUOTivt0va6389i7fvv-YAocwa1Km4d_pX22Cws_Oaum8irFEPkC6ZPPDqPBBp1yOs1so0nVKCkcDCp3ELpPvk-yTR4P19ObiBs7d2Q2DifAoY4fhGoL-ObT3r9pq7b3GuFuwTQ9xYJf_b1s1gU_g2JYkeCKpRQ2k5R61hE&__tn__=%2CO%2CP-R,"Thứ Tư, 13 Tháng 3, 2024 lúc 19:00",2
"['[ CHÚNG TỚ CÓ X TIỆM IN HI DUE Z ] - [ HI 48K DUE Z ]\nHello các cậu, là tớ thành viên mới của ngôi nhà chung HI DUE Z. Dù chỉ mới 6 ngày tuổi nhưng thật may mắn tớ nhận được rất nhiều tình iu thương từ các cậu.\nCó thể phần lớn các cậu biết về tớ rồi nhưng để hiểu hơn về tớ thì xem ngay ảnh dưới đây nhé !!!!\nGroup 1 full r tớ gửi group 2 zalo của bọn tớ:\nhttps://zalo.me/g/onniqb222', '+2']","['Tất cả, 15', 'Thích, 8', 'Yêu thích, 7']","['Xịn nghe Tiệm', 'Xịn quá ạa', 'Dương Nhi', 'Tuyệttrt']",2991,https://www.facebook.com/groups/1124235908231967/posts/1411563012832587/?__cft__[0]=AZV3WRE4BYwuHCmXQ4tCjUhDJ4fSqiHLbz07S6_qC2-evUIoQQAhSr6SrlzSwes8ON6bMViDLu-RAzlVlYHlqEsUT0nhdOAKlYWmXkn8UD730w1IvMInfzbkkWnW_Ef1Svyrs6V-jZN82Wy9iIfTDRSsnFgA9je30T-XVDNUZlP2LApOK0yKb7JC1Y9suUwTboI&__tn__=%2CO%2CP-R,"Thứ Ba, 12 Tháng 3, 2024 lúc 10:05",4
"['[ TƯ TƯỞNG HỒ CHI MINH GIỮA KÌ ] - [ HI 48K DUE Z ]\nTiệm gửi đề giữa kỳ kì trước vừa thi cho các bạn tham khảo nhá\nChúc các bạn kiểm tra thật tốt\nGroup 1 đầy r tiệm gửi các bạn group 2 nhé:\nhttps://zalo.me/g/onniqb222\nhttps://drive.google.com/.../1QGt-p9vMR6HkA...', 'DRIVE.GOOGLE.COM\nTư tưởng hồ chí minh giữa kì - HI 48K DUE Z - Google Drive']","['Tất cả, 76', 'Thích, 65', 'Yêu thích, 9', 'Thương thương, 1', 'Buồn, 1']",['Dalivanh Chanthasak'],4046,https://www.facebook.com/groups/1124235908231967/posts/1411271669528388/?__cft__[0]=AZWbIgp5qXSBbggAFS0ghB9JBXYJit5326gZo-7P6gOWrbWZjAnL1L7Ft71_IKaDyZN2BzTESKPSzkIDXmujjnNVQlYor_QP-xz_ExyVGoSqRoKwCc_rXIu-xvRfmRNVGXW7shGzcfKw9r88hDQjYA4iJavfjwCR8cKlrcZIV66vDB8LYyUyAow8e_cg2W5gYRE&__tn__=%2CO%2CP-R,"Thứ Hai, 11 Tháng 3, 2024 lúc 19:46",1
"['[ GIỮA KÌ INCOMMING ] – [ HI 48K DUE Z ]\nTheo lịch của trường thì trong tuần sau ( phần nhỏ ) và tuần sau nữa ( phần lớn ) đa số các bạn ở khóa 48k sẽ bắt đầu kiểm tra giữa kì rồi\nThì cho anh hỏi hiện tại kì này các bạn đang sợ môn gì nhất hay sắp thi những môn gì thì bình chọn vô để anh và HI DUE Z biết đường ưu tiên gửi tài liệu giữa kì cho học dần .\nCác bạn vui lòng cmt cú pháp như sau ở lượt bình chọn nhé ! Tên Môn ( Không viết tắt hỉ ) Ví dụ: Tư tưởng Hồ Chí Minh\nLưu ý: Viết sai cú pháp hoặc tạo trùng bình chọn anh sẽ xóa nhé', 'Tư tưởng Hồ Chí Minh\n15%\nDo Lan Anh thêm\nKế toán tài chính\n9%\nDo Lan Anh thêm\nKinh tế lượng\n1%\nDo Lan Anh thêm\nNhập môn kế toán\n11%\nDo Lan Anh thêm\nTài chính công\n4%\nXem tất cả (30)']","['Tất cả, 14', 'Thích, 10', 'Yêu thích, 4']","['@mọi người các bạn vô bình chọn, ko chọn thiệt tự chịu á ngheee', '4', 'Môn dì cũng được a. K cần cũng được. E cân hết. E học giỏi e k sợ', '2', 'tài chính công\nlý thuyết trò chơi và tư duy chiến lược']",4440,https://www.facebook.com/groups/1124235908231967/posts/1410658199589735/?__cft__[0]=AZVLuwPudsQytzLcQGCsPkNJdtUneVQ50yxIllSKlkaQDeOIkiDeW032Nm7_R_dxAvV1NhcJPdWOo_RmfB-W9iiFn0ttvt1j31TBOYreLq91Ixx0UiB-1SmTzcyhx7rcOJmgK91iHCou5ir-S57J3xTBg9MZV3maWELnZo_WIkhvg5ypVNdaLgylzB26Zr3gqVU&__tn__=%2CO%2CP-R,"Chủ Nhật, 10 Tháng 3, 2024 lúc 19:00",5
"['Cuối tuần rồi bạn cứ như vầy tiệm thick lắmm ', '+3']","['Tất cả, 17', 'Thích, 10', 'Yêu thích, 4', 'Haha, 3']",[],5476,https://www.facebook.com/groups/1124235908231967/posts/1410172922971596/?__cft__[0]=AZUfZX5TvFvu0DtLfrRVAswDwrSjOocFQ9ZB2f5byOsYMoTeGTvKPORwHEpSRVmiUfHzzzgZXr0MWaRLTHXKCas5ESE2QQ9_9erwhFt8ibB-0KbFcGZO53KApJ-bLZZzmljb9cmi9biRRXGHXnfLCwgPMpJD8iHZ9BYAuTqZ5g01IYQ2wKeGtzQAyM86CaFUDow&__tn__=%2CO%2CP-R,"Thứ bảy, 9 Tháng 3, 2024 lúc 16:45",1
['Tưởng mới mở tiệm in là sập group Hi Due Z luôn r\n\nHoá là trôn Việt Nam trôn Việt Nam à'],"['Tất cả, 23', 'Haha, 17', 'Thích, 5', 'Buồn, 1']",['Tuần sau bắt đầu up dần tài liệu giữa kì nha bà con Hi Due Zzzzzzzz.'],6402,https://www.facebook.com/groups/1124235908231967/posts/1408223979833157/?__cft__[0]=AZWnjxEv6gTJiIEDify9kG7SjmYAVRZTV-kktgMFHZZTOolSGisyMCWSzv4FX4eQ7VIHLPjjvBGIQyi1xpFHgc9vBr993VbOW_stv5rmxoav9DsLUKGpzx669WrR0PFOlKT98M5sYngi6x89ZLV6LSchOlo_ykezaY9q3T6TEuhgcM3etANtSw045e0WezKRbrM&__tn__=%2CO%2CP-R,"Thứ Tư, 6 Tháng 3, 2024 lúc 00:20",1
['Cảm ơn các bạn dù mới mở tiệm đc vài tiếng đã tấp nập đơn onl và trực tiếp \nTiệm sẽ cố gắng hết sức để phục vụ mn '],"['Tất cả, 18', 'Thích, 12', 'Yêu thích, 6']","['https://zalo.me/g/oxlflh062', 'Tham gia group tiệm nha']",7215,https://www.facebook.com/groups/1124235908231967/posts/1407354473253441/?__cft__[0]=AZXJokL5flix3OATEJlINgsONH7vxrG1G10YGtLp4O0755FtgFRWYvwFGsotI1CW4_xoZ9hDYOs3RYblq_Dj8FU50f9gcU-B2srdreXhKFJM8EPEdfWt1nPHBHm3cPvEjbq3LJPT2sVh3IMhNRWbiVvQLy3B16LzoIu7QvOU3z8VwxFnHnVte_6B2QPdzksN5yY&__tn__=%2CO%2CP-R,"Thứ Hai, 4 Tháng 3, 2024 lúc 10:12",2
['-Biết ông Chúng không ?\n-Chúng gì ?\n-Chúng mình sẽ khai trương vào thứ 2 ngày mai nhá \n ở 53 An Thượng 18 ( sau cổng phụ khu D đại học kinh tế )\nMình là thành viên mới của đại gia đình Hi Due Z. Hi vọng được mọi người iu thương \nLink group zalo tiệm mình ở đây cần gì ib nha:\nhttps://zalo.me/g/oxlflh062'],"['Tất cả, 24', 'Thích, 20', 'Yêu thích, 4']","['Ở ngài thì đẹp bên trong thì đã sẵn sàng.\nTài liệu xịn - Gần khu đi học - Chi phí hợp lý cùng nhiều ưu đãi. Còn chần chờ gì nữa', '2', 'Xịn z', 'Đinh Phước Toàn']",8255,https://www.facebook.com/groups/1124235908231967/posts/1406970779958477/?__cft__[0]=AZU_6-kKcF3Eurz8uAtcR3aeqHxHrsDlHkjn6lw2qzy3R4baFAGO_lVMXym_zdb6AE0xbBdbSIvECQeNjVKdhCUIU-qKFE23EYKeTCGohtPc8565fzbKhKlYF8omVKxJICfEohY2ll07re8jbTMq3NKRjbdN3RfW2O-j0h8AUZDTw68qQsGFrNHpkh5SK5thK_U&__tn__=%2CO%2CP-R,"Chủ Nhật, 3 Tháng 3, 2024 lúc 16:39",4
