content,emoji,comment,current,href,time,comments_size
['Nhắm mắt vào hết tết\nMở mắt ra 1 tuần nữa bắt đầu bắt đầu vô ‘mùa’ kiểm tra giữa kì'],[],"['Cần nhắn tin cho mình. Tớ pass fx580 thi xongg. b ry rh b r y h', 'Trúc Ngọc là giữa kì dữ ch tr nhớ là mới đi học đó mà']",9366,https://www.facebook.com/groups/1124235908231967/posts/1405993386722883/?__cft__[0]=AZUM2w-X0VmmSi5lU3kFxbNXcQffSJcPyPRTGYFMSwRiMG5r8JW3rz7jW_X6IfZnyBuzZNwMNj8GeAQIdG-bZvI9SqFgZJUi9excHEnvq0lh85WVA-9rMvCIQkb1nVidQOvaCCdB44LieQP9h39uUZ05Umxsm5EPOkpMPZ2a4Q4cn2AtjdlGbL20sgcWwAP6A3Q&__tn__=%2CO%2CP-R,"Thứ Sáu, 1 Tháng 3, 2024 lúc 19:26",2
"['Tiệm in Hi Due Z\n53 Tôn Thất Thiệp\nNgay sau cổng phụ khu D trường đại học Kinh Tế, đi bộ là tới lun\nHẹn cả nhà iu nhá \n#comingsooon']","['Tất cả, 20', 'Yêu thích, 14', 'Thích, 4', 'Haha, 2']",[],10312,https://www.facebook.com/groups/1124235908231967/posts/1403241780331377/?__cft__[0]=AZXYfV1vN-MTE2QIJrIpmoIPkCkJ5lOsNpgKvWF1760VmCnEWGc6iUmRTvLhzpr-2T8oQUXIxa58pMtf2Zl3xmwTphgdj9Zmjq0YQ1E2iZvuaJbDcQiXrf-Fl5_Pg2ch46UFMjoAH8Di15uALwOkBBz1sKoURB2DfZcEKiI09XEq7zfsS4uNNkSynT0wFNH72KQ&__tn__=%2CO%2CP-R,"Chủ Nhật, 25 Tháng 2, 2024 lúc 10:14",1
"[""[ Ở ĐÂU CÓ VIỆC LÀM ? Ở ĐÂY QUA TẾT CÓ VIỆC LÀM NHA ! ] – [ TIỆM IN HI DUE Z COMING SOON 2024 ]\nChào các bạn, với nhu cầu photo/ in ấn cấp bách hiện nay của sinh viên Kinh Tế thì tiệm được xây dựng để đáp ứng nhiều tiêu chí chính như vị trí thuận lợi, an toàn, giá cả phải chăng và đặt biệt có nhiều tài liệu xịn xò mà chỉ có ở Tiệm in HI DUE Z và chúng mình đã đang cố gắng để đáp ứng gần hết nhu cầu in ấn photo của sinh viên Kinh Tế.\nVà để tiệm hoạt động tốt thì mình cần tìm những người đồng đội cùng chiến tuyến.\n- Vị trí nhân viên in ấn/ photocopy . SL: 7 bạn. Mức lương chính thức 17-18k/ 1h chưa tính thưởng hằng tháng\n- Vị trí kế toán. SL: 2 bạn. Mức lương sẽ trao đổi khi phỏng vấn\n- Vị trí nhân viên in ấn/ photocopy ( cộng tác viên ). SL: 10 bạn. Mức lương chính thức 17k/1h\n- Thời gian dự kiến bắt đầu hoạt động: tầm 1 tuần sau khi sinh viên đi học.\n- Thời gian kiểm tra, phỏng vấn và training: tuần đầu tiên đi học\n- Thời gian kết thúc: 19 – 20/ 2 tùy vào lượng đk nhiều sẽ kết thúc sớm\nBỉ ngạn Cam, nhìn Job mà thấy ‘ Hammmmm '\nĐối với vị trí nhân viên in ấn/ photocopy\nQuyền lợi\n- Vị trí làm việc gần trường ( ngay cổng sau trường ). Vừa làm vừa tiện lên trường\n- Hàng tháng sẽ có thưởng nhân viên xuất sắc nhất, leader xuất sắc nhất\n- Được làm việc trực tiếp với anh và làm trong môi trường gen Z trẻ trung, năng động, đề cao tính sáng tạo\n- Các ca được sắp xếp phù hợp với thời khóa biểu sinh viên kinh tế -> dễ dàng sắp lịch học và đi làm\n- Đối với những bạn công tác viên : được tự do đăng kí ca tối - không có lượng ca tối thiểu\n- Có lộ trình thăng tiến công việc đầy đủ\n- Không cần có kinh nghiệm trong in ấn ( sẽ được training từ đầu )\nYêu cầu:\n- Nắm được kĩ năng tin học cơ bản: word ( quan trọng ) - power point – excel. Yêu thích tin học\n- Độ tuổi trên 18, không có yêu cầu về trường học.\n- Biết lắng nghe, ham học hỏi, ý thức tự giác cao, có tinh thần cầu tiến và năng nổ trong công việc và tôn trọng Deadline\n- Có khả năng giao tiếp, quản trị, quản lý đội nhóm, teamwork ( dành cho những bạn mong muốn tiến xa hơn vị trí nhân viên in ấn )\n- Làm việc lâu dài ( > 6 tháng )\n- Đối với nhân viên in ấn/ photocopy cộng tác viên : ít bận việc từ gia đoạn 6h - 7h tối trở đi. Phù hợp với những bạn bận ngày rảnh đêm. Có lịch thì sẽ đăng kí không có lịch thì không cần đi\nLink đăng kí ở đây:\nhttps://docs.google.com/forms/d/13qZxEgwtrdEOQlxaWjezymPe52diBRJcrjPsUFvr3Mg/edit\nĐối với vị trí kế toan\nQuyền lợi:\n- Vị trí làm việc gần trường ( ngay cổng sau trường ). Vừa làm vừa tiện lên trường\n- Hàng tháng sẽ có thưởng nhân viên xuất sắc nhất, leader xuất sắc nhất\n- Được làm việc trực tiếp với anh và làm trong môi trường gen Z trẻ trung, năng động, đề cao tính sáng tạo\nYêu cầu:\n- Là sinh viên đã và đang học tại khoa Kế Toán & Kiểm Toán trường Đại Học Kinh Tế\n- Sử dụng tốt các công cụ kế toán cần thiết\n- Quản lý tốt các con số, các dòng tiền ( doanh thu, thu chi, bill, tiền ở từng ca làm,…)\n- Có kinh nghiệm là một lợi thế\n- Biết lắng nghe, ham học hỏi, kĩ lưỡng, ý thức tự giác cao, có tinh thần cầu tiến và năng nổ, nhanh nhẹn trong công việc và tôn trọng Deadline\nLink đăng kí ở đây:\nhttps://docs.google.com/forms/d/1WTlnGqjLOaYT0SMvc_ivZkbjUGETHQ8Wb9UjH0hEZbE/edit\nWelcome cả nhà iu đến với team Tiệm In HI DUE Z""]","['Tất cả, 53', 'Thích, 29', 'Yêu thích, 24']","['Tuyệt vời', 'Welcome cả nhà ngoan xinh iu @mọi người cùng tham gia vào đội ngũ tiệm in Hi Due Z - Coming soon', '53 tôn thất thiệp', 'Diệu Linh', 'Mỹ Duyên kế tóan ziên tưn lai nè', 'Anh Đạt ơi, em học xong môn Nhập môn kế toán rồi quay lại có muộn không ạ', '2', 'Đăng Mai luôn welcome e trai kk', 'Vi Thị Thu Thủy liền', 'Nguyễn Thơ kế toán nè', 'Đường Tôn Thất Thiệp nghe anh zai ơi', 'Tiệm in nhà trồng', 'Diệuu Thúyy chuyển chỗ tin cậy thôi :)))', '.-. Học nmkt A+ mà là sv mkt ứng tuyển đc hem a', 'PHOTOCOPY QUỐC TRUNG mở cửa trở lại!\nKính gửi quý khách hàng,\nPHOTOCOPY QUỐC TRUNG xin hân hạnh thông báo cửa hàng sẽ chính thức mở cửa trở lại vào 6 giờ sáng ngày 19 /02 /2024 sau thời gian tạm đóng cửa nghĩ tết âm lịch.\nNhận in ấn giấy tờ ,sổ sách ,báo cáo tốt nghiệp …….\nGiáo trình ,bài tập ,………\nCv xin việc, ảnh màu,…\nƯu đãi đầu năm giảm 10% cho các đơn hàng lớn đến cuối tháng.\nPhotocopy quốc trung xin gửi lời cảm ơn chân thành đến quý khách hàng đã luôn quan tâm và ủng hộ trong suốt thời gian qua. Chúng tôi hy vọng sẽ tiếp tục nhận được sự tin tưởng và đồng hành của quý khách hàng trong thời gian tới.\nThông tin chi tiết:\nĐịa chỉ: 35 hàm tử .tp Đà Nẵng\nThời gian mở cửa: 6h _ hết khách\nĐiện thoại: 08.6543.6963 (zalo)']",11098,https://www.facebook.com/groups/1124235908231967/posts/1398077530847802/?__cft__[0]=AZVEfQXjY_y_hiYGYUoSdP9P5LBflLggUZ-WHmjHQCjbFk5FOeEY8ratYru_d6ttiS-gYhNVqCl_7XdNoYIQpCRwbVerpQipRONDgCep1wfGxZECieWnmnIkGYqLffPaxHF6SKLy67LBdHQg8mUcoMXqOFPnnT4HoJL2H8epCGNe3DsWsBtq7gXGUv9vmYAUc9U&__tn__=%2CO%2CP-R,"Thứ Năm, 15 Tháng 2, 2024 lúc 17:15",21
"['Nghĩ đến việc chỉ còn 5 ngày nữa là được đi học lại, được gặp bạn bè đã thấy háo hức']","['Tất cả, 28', 'Buồn, 21', 'Thích, 5', 'Haha, 2']","['Vui quá', 'Nguyễn Thị Hòa thật nha', 'Thành Đạt vui lắm a. Khóc luôn']",12393,https://www.facebook.com/groups/1124235908231967/posts/1397400400915515/?__cft__[0]=AZXWI_JGm3ledGT6Qa__fZtjA7pTlfPatFp1U0VHK9LoK9JlDYB-2nU78Ft-mOGvHGdEHx2H88ggTrJ4kFnThl4zIwAG3ltrCcD1ISF5EJk0dBx1DCfUIKiuq6zRE77c-8WfVO26Q54OStkUfjXwpejDieQNQgVZ1p8Eme5vVUN0quikEXj7KVUgMjk67zfm7Es&__tn__=%2CO%2CP-R,"Thứ Tư, 14 Tháng 2, 2024 lúc 16:30",3
['Không ai khác:\nTôi học kế toán dưới sự miêu tả của các cô hàng xóm sau sau này ra trường'],"['Tất cả, 25', 'Haha, 18', 'Buồn, 4', 'Thích, 2', 'Wow, 1']",[],13218,https://www.facebook.com/groups/1124235908231967/posts/1396730930982462/?__cft__[0]=AZUYn2wh4JlOgEAQgWA4D6BCxMGNpZUe4p0HNQrj4sUK15C0_nXHRcYHAczqjvOvfgDuPRV2wfLJe9go16yExCcd9QYXyJ5tt0r0Bw0nNWAa_p_GECRzhNFOU4CSFrgfD3TG9eKhuzsmEMAriwg1i2-DiXMYh0J4LUOKRVoKL6kCoe4PYiBSF2GkWz7gCg1154o&__tn__=%2CO%2CP-R,"Thứ Ba, 13 Tháng 2, 2024 lúc 10:07",0
['Tết này chỉ chờ 1 câu\nEm thua bao tiền ? Anh ck cho'],[],[],13849,https://www.facebook.com/groups/1124235908231967/posts/1395971144391774/?__cft__[0]=AZUOvk4MMzuksBCy7UzJmZGk030HQ8mhLeNmZYqtck0_vztmQzpOJcJuwSBHDo0p4MFNlfpXKJ63qQZgkAnPNZSn7W7c23kECPIfbCIGEb9pw4474uU6aJPyhjOXPZpBWr7ZbS9Joaub45i9eezCsUM1_MrjvWyNiV2o6fJVKpsK-WxqdpLfaSlZorzQ0uAdMyI&__tn__=%2CO%2CP-R,"Thứ Hai, 12 Tháng 2, 2024 lúc 16:22",0
['Sau 3 mồng tết tôi nhận ra 1 điều:\nNgười không chơi bài là người chắc chắn thắng.\nVì người chơi bài ván 2k thua 180k là có thật.\nCụ thể là người up bài ni'],"['Tất cả, 19', 'Haha, 15', 'Thích, 4']",[],14411,https://www.facebook.com/groups/1124235908231967/posts/1395964631059092/?__cft__[0]=AZUgnBbvbrZEVmtnHtvhG0Ts72tKkzHRzURGKpzwb0ofKMnyGOL0Oj1t-IGHvEzNFHKz9qYTfuZzTzqBEvWtBGY7sy0eRoLllMDA3YbX2w4rYkkpOG0mx4fg4pFdiWS94NJywwBd130E93K9R_wwo0hirmVGdpiJmhjG-EevAPo9i8jj3iakzGvb7PI74e0fNpc&__tn__=%2CO%2CP-R,"Thứ Hai, 12 Tháng 2, 2024 lúc 09:10",0
['Ngon thiệt hong dỡn'],"['Tất cả, 17', 'Haha, 14', 'Thích, 3']",[],15007,https://www.facebook.com/groups/1124235908231967/posts/1395376707784551/?__cft__[0]=AZW4S1QUVrgrNyyml6q2szBCHFaGz24I4608Pjqd9dFImwKmrMgjT7Q9aReOmtBB3zjBj_JB3iwE7q8qWdiFKyVflrUy1yAYH2R3SX3nIDqaIspIt8vGWT6CXnQzEqX_tCiGxK4gY8ReGnj-smLIiNlqKEoDj7otFdc3p5SThmUBdvR4cRoCNXInlb45xEAneXM&__tn__=%2CO%2CP-R,"Chủ Nhật, 11 Tháng 2, 2024 lúc 09:00",0
['Chắc nghỉ coi str mấy hôm chứ lướt toàn 4.0'],"['Tất cả, 96', 'Buồn, 55', 'Thích, 27', 'Haha, 13', 'Thương thương, 1']","['Xl dc chưa :))))))', 'Nguyễn Thư thoai bà khoải', 'Họ 4.0 mà còn lo về tương lai sau này, nhìn lại điểm mk lẹt tẹt chắc mk ko có tương lai']",15532,https://www.facebook.com/groups/1124235908231967/posts/1382605619061660/?__cft__[0]=AZXJG_9dMexUMimK95W5d-Hn9wx6PUXhRxl19pwXfXNKdiuWwXUWhynIrmcmadpnsidopOy0Qfw66hCQsJ0CjSgqcntmHK9f389jnpyc0cjfrUWBgzZmEZrfdMmFcr4kk9lprqUtEu6Dc1PZ_MImhYx11demxF4PVyz-4znkUbq_M5PdLrUUK6UNejxqTF6lVIo&__tn__=%2CO%2CP-R,"Thứ bảy, 20 Tháng 1, 2024 lúc 10:00",3
['Cục cưng của ai đi lạc vậy nè '],"['Tất cả, 114', 'Haha, 71', 'Thích, 31', 'Yêu thích, 12']","['Theo dõi', 'Lê Thanh Tuyền thi xong hổng lo dề mờ đi lung tung cho ngta chụp dẫy', 'Ly Na Lê t còn luyến tiếc phòng thi á', 'Lê Thanh Tuyền 10 điểm trên tay r á, về lẹ chớ để mắc công gặp ... như t', 'Ly Na Lê m đừng có mà xúi quẩy', 'Lê Thanh Tuyền bạn m cũng đau khổ lắm chớ bộ', 'Thái Phi\n)', 'Ngân Lê hồi chiều mới thấy', 'Uyên Lê chua đi đâu đây?', 'Linh Thư biết ngay sẽ tag tôi. Fan mà k nhận ra idol', 'Tanian Nguyen đi đâu đây a', 'Bé Hằng Cung Trăng đi học CSM đó', '=)))))))', 'Thanh Trúc Đoàn ủa tưởng a về quê ròu mà lén đi học hả', 'Bảo Ngân đó chơ. chơ b dề quê r màaaa', 'Thanh Trúc Đoàn sin lũi vì lỡ leak ảnh cou cho admin nha', 'Nguyệt Thu răn đi lang thang ngoài hành lang rứa bé', 'Ánh Thy do bạn Áthy đồng loại của mình đi lạc vô lớp này nè']",16296,https://www.facebook.com/groups/1124235908231967/posts/1382402465748642/?__cft__[0]=AZUyt1-f-F7rb5XuTB3dJ1bspWJi-5xD_1drG62-WaWATLl6erqecfdo6IuFENbfBO6cGPjJntZBAtCi5HuRNfZ4yI5YF1LhkqKmkq2oWV9jLx1N3RCWVjnh5nZmmIc9NB2cB7pEyluTkN_T57PZiKIsGKeTIlj6SmSwhcYIP9tn23c_6XOPHT-nvmbA827iG0c&__tn__=%2CO%2CP-R,"Thứ Sáu, 19 Tháng 1, 2024 lúc 17:43",18
['Tình hình chung 48K sau thi và sắp nghỉ Tết:)'],[],[],17305,https://www.facebook.com/groups/1124235908231967/posts/1381850259137196/?__cft__[0]=AZXbG52Ax882Ryxdh8c6_tP8vR6bZ4XvvHbyZGkJPoHFzQSe-LIblaeu-iuTuheyGmJuBl3unSsMZQylusfnRnYc7AyjXuqSgF6PwthtKJqPzZUSOMkC6fliwBJAP-Zyz2ucEn6woWgfgFb4HAZukRzbKiFYrWFlG0F9YYm9yhCiXvhEgSOAlsy3mDRtwuyqJWo&__tn__=%2CO%2CP-R,"Thứ Năm, 18 Tháng 1, 2024 lúc 19:01",0
"['lĩnh hội ""kiến thức, kinh nghiệm và trải nghiệm"" ']","['Tất cả, 25', 'Haha, 16', 'Thích, 5', 'Yêu thích, 3', 'Buồn, 1']",[],18021,https://www.facebook.com/groups/1124235908231967/posts/1381674135821475/?__cft__[0]=AZWHqvCholU0ecytO4GZt1zn3ItmmNnu1-JELoU1WCSuw2O0csxnO8Fpe3kcwbsSb0reeh3UCD1D1Qq_8dt0H5ZDBT5Pn75DMExwKjWQ1ga_iZ7PxmrOLUVGtpctNUIROJm7K_D0S02CNjRFbY7-nPjltjYTbVWVdlhnzWzbXI_2P07E9dKZcZDvU6dUQbgL_u0&__tn__=%2CO%2CP-R,"Thứ Năm, 18 Tháng 1, 2024 lúc 11:15",0
