content,emoji,comment,current,time,comments_size
[],[],[],8905,
"[' TÂM SỰ 49K sau khi kết thúc kì quân sự:\n“Hai tuần quân sự đối với em không ngắn cũng chẳng dài. Được đi học quân sự là điều có thể nói là tuyệt vời nhất trong quãng thời gian sinh viên của em. Rời khỏi khu quân sự, cảm xúc lưu luyến, bồi hồi trong em dâng trào: những bữa cơm 10 phút, những tô mì ngon nhất em từng ăn, những lúc bất chấp mọi thứ lén gặp anh shopeefood,… khoảnh khắc xếp nội vụ mãi không được, những buổi tối sinh hoạt cùng nhau, nỗi nhớ về các chiến hữu…. Còn nhiều điều em không nói nên lời \nÔi nếu được em ước được học quân sự thêm lần nữa. EM TIN CHẮC ĐÂY LÀ MONG MUỐN CỦA HẦU HẾT 49K ĐI QUÂN SỰ ĐỢT 1 !!!” ']","['Tất cả, 179', 'Thích, 92', 'Haha, 47', 'Yêu thích, 34', 'Buồn, 4', 'Thương thương, 2']","['Phương Linh Thúy Na Bui Thi Thao Ly Khánh Ly Trương Lan Nguyet Nhung Linh Linh Ny Nguyen Loan Mai Nhàn Lê nhớ B511', 'Thị Ngân tips đi quân sự thành công né phòng B511', 'Thị Ngân nhớ cái cách mấy bạn nấu nước sôi', 'Thị Ngân nhớ cái cách gây ấn tượng vs mấy thầy của B511', 'Thị Ngân mê cách anh ấy yêu tụi mình', 'Thị Ngân nhớ mỗi lần bắt mỗi thầy khác nhau', 'Thị Ngân thích cái cách mấy chị ấy báo đời', 'Thị Ngân nhớ mấy cái tiểu phẩm mẹ già dì ghẻ của b511', 'Thị Ngân nhớ cái cách các con la hét vùng vằn đòi đi chơi', 'nhớ những tiểu phẩm không hồI kết', '45k và tháng ngày học quân sự online đắp chăn ngủ, sau lên ngủ resort 2 ngày 2 đêm ko ai quản nhìn đàn em kiểu =))', 'Hiền Trinh Trinh Tran Thân Thị Thuỳ Trâm Đoàn Anh Thư Võ Kiềuu Trinh Trâm Nguyễn Lê Nguyễn Bảo Trúc Thị Thức Cẩm Trinh Lê Thanh Oanh cất bài đi thầy tới kìa', 'Phạm Xuân Thương “m cương nữa đi”', 'Phạm Xuân Thương tẩy trang đi sắp 21h30 r đó', 'Lê Nguyễn Bảo Trúc "" đứa nào cài báo thức 4h""', 'Thảo Phạm "" Tất cả im lặng hết đii, ồn ào quá""', 'Lê Nguyễn Bảo Trúc 22h rồi, ngủ đc rùi bà con', 'Thân Thị Thuỳ Trâm ""2 lăm a nhập ngũ em coá chờ a khôm""', 'T lại ước đ phải đi ấy:)', 'Tùng Dương Công :))', 'Trần Tiến Hùng gi em', 'Trần Tiến Hùng nho nhung ngay mo cua la bu', 'Ước', 'Minh Châu My Chi thịt hổ tiếp bây', 'Nguyễn Thảo em à', 'Tố Nga đr, đi qsu thích lắm, nếu được thì mong không có lần sau ạ', 'Nguyễn Thế Đức Hoàng Ngọc Bảo Tiến Phát Thanh Hạnh Huân Nguyễn Thien Loc Thành Luân Nguyễn Hiếu Huân Nguyễn Lâm Hồ Trần Quang Hải. Bây viết bài ni phải ko :)))', 'Trần Thanh Nhã đêm đó ai k nhớ', 'Huân Nguyễn mê cách mấy anh tạo điểm nhấn', 'Trần Thanh Nhã Mấy anh làm loạn ít thôi', 'Kim YếnTiên DungÁnh LaiNguyễn Thị Thu HàTường VyXuân KhánhNguyễn Lê Uyên hội ni viết à', 'Trân Châu em đóoo', 'Trân Châu nay ko đc đi tìm tớ nựa rồi', 'Trân Châu vừa viết vừa khóc đó', 'Thu Ngân còn ai ngoài chỉ', 'Huỳnh Cẩm Nhi nghe nói luỵ quân sự', 'Xin đợt 2 đi là khỏi đăng nữa', 'Phan Ngân là m đúng kh', 'Võ Thị Quỳnh nỗi lòng cụa em', 'Trần Hương Giang 1 2 đi đều', 'Hương Giang sáng nghe tớ hô 1 2, tối cx nghe 1,2 nhưng k bt từ ai :)))', 'Gấp chăn k đc thì gấp chăn trưa', 'Hà Thanh chắc chỉ viết', 'Cẩm Tiên Hiền Trang Thiên Thiên Ý Nguyễn Thị Thu Trang Thu Thúy 2 tuần tuy ngắn nhưng elm đã có tất cả ảnh dìm của mn', 'Nguyễn Quỳnh Trang coi chừng tung ảnh nóng của m đó nhee', 'Hiền Trang Thiên Thiên Ý 2 bạn bớt lóng, cbi ngủ đi mai dậy tập thể dục', 'Nguyễn Quỳnh Trang chị nghĩ em thiếu của chị chănh', 'Nguyễn Quỳnh Trang bạn đừng thách thức chúng tôii..', 'Nguyễn Thị Thu Trang em đã chui xuống gầm giường bất động', 'Nguyễn Quỳnh Trang lắn phắn là ảnh nóng của elm bị lộ đấy :))', 'luỵyyyyy', 'Nguyễn Quỳnh Trang ai ngủ ròii giơ tay lên Hiền Trang']",9595,"Thứ Sáu, 1 Tháng 3, 2024 lúc 14:48",52
['Thông báo khẩn: Ngày mai 30/2 toàn thể sinh viên được nghỉ học nhéeee '],"['Tất cả, 220', 'Haha, 161', 'Thích, 40', 'Buồn, 17', 'Yêu thích, 2']","['Đây là kênh của TQ', 'Đây là kênh của TQ', 'Đây là kênh của TQ']",10147,"Thứ Năm, 29 Tháng 2, 2024 lúc 21:29",3
['Chắc bạn nào Quảng Bình nhớ quê nên mang Hang Sơn Đoòng vô Đà Nẵng đó'],"['Tất cả, 157', 'Haha, 120', 'Thích, 33', 'Yêu thích, 2', 'Buồn, 2']","['Chi Bùi', '=))))))', 'Linh Dan m à', 'Bao Ngoc m à', 'Trần Thị Hiền đi wang pink thui', 'Nhi Bùi chéc chén là aqan đem theo ròiii', 'Nguyễn Lê Hoài Thu c phở hân', 'Hoai Nam Dinh ?', 'Thành Nguyễn vjp', 'Thui mờ. Ai mượn mang vô Đn chi rứa chú Khánh Nam', 'Lê Ngọc Tiến bữa cất trong vali quên trả a ơi', 'Thu Thủy qua ngồi check tính đi nhởn mần bất ngờ', 'Vân Khánh đi thôi khứa', 'Bé Hằng Cung Trăng hay rủ lắm', 'Để rủ khứa bạn chiều đi Sơn Đoòng, chắc nó sẽ hạnh phúc lắm']",11083,"Thứ Năm, 29 Tháng 2, 2024 lúc 13:10",15
['Sao chưa thấy ai checkin nơi này ha'],"['Tất cả, 346', 'Haha, 251', 'Thích, 80', 'Yêu thích, 10', 'Buồn, 4', 'Thương thương, 1']","['Sắp bỏ đến nơi rồi mà :((', 'Anh Thư Nha Uyen Gia Bùi Huỳnh Thư êii...', ':))))', 'Diệu Linh tìm đâu xa nữa hâh', 'Hoàng Oanh làm liền 1 pic', 'Tối đó mà tôy không cầm máy ảnh đi thì tôy đăng ảnh này rồi đó =)))', 'Phan Nhật Diệu Khanh ê khỏe re =))', 'Kiều Trinh Trà Thị ời hê :)))', 'Nguyễn Khánh Linh lên luôn MC', 'Hồ An ko có ảnh đẹp cậu ơi', 'Nguyễn Lê Quý Định Thôi năm sau r 2 đứa check in chung :>', 'Đây là kênh của TQ', 'Đây là kênh của TQ', 'Ưu đãi dành riêng cho các bạn Sinh Viên\n1/ Cấp thẻ tín dụng tiêu dùng 5-10tr\n2/ Miễn phí mở thẻ, trả góp hàng tháng từ 300k\nĐẶC BIỆT, 𝐠𝐢𝐨̛́𝐢 𝐭𝐡𝐢𝐞̣̂𝐮 𝐛𝐚̣𝐧 𝐧𝐡𝐚̣̂𝐧 𝐧𝐠𝐚𝐲 𝟐𝟎𝟎𝐊\n** 𝑙𝑖𝑒̂𝑛 ℎ𝑒̣̂ 𝑉𝑖𝑒̣̂𝑡 đ𝑒̂̉ 𝑛𝑎̆́𝑚 𝑟𝑜̃ 𝑡ℎ𝑒̂̉ 𝑙𝑒̣̂ 𝑡𝑟𝑢̛𝑜̛́𝑐 𝑘ℎ𝑖 𝑔𝑖𝑜̛́𝑖 𝑡ℎ𝑖𝑒̣̂𝑢 𝑏𝑎̣𝑛\nLiên hệ: 𝗩𝗶𝗲̣̂𝘁 - 𝟬𝟵𝟭𝟰 𝟯𝟳 𝟲𝟰𝟲𝟱 (𝗰𝗼́ 𝗭𝗮𝗹𝗼)\nHỗ trợ SV toàn quốc\nThủ tục chỉ cần CCCD & Thẻ SV']",12241,"Thứ Ba, 27 Tháng 2, 2024 lúc 20:00",14
[],"['Tất cả, 150', 'Thích, 67', 'Haha, 59', 'Buồn, 24']","['Ước cao m5 còn chưa đc nữa đây', 'em muốn 1m9 em gần 17t rồi', 'Phạm Công Khiêm ước', 'Nguyễn Thị Phương :)) trên này loang lắm đừng mong gì', 'Phạm Công Khiêm ))', 'Nguyễn Thị Hiền Diệuu', 'Nguyễn Tường Nhật Vy muonn gi', 'thêm cặp sừng là đủ m6']",13097,"Chủ Nhật, 25 Tháng 2, 2024 lúc 20:03",8
[],[],[],13446,
"['""Học, Thở và Deadline"" ']","['Tất cả, 245', 'Haha, 113', 'Thích, 87', 'Buồn, 43', 'Yêu thích, 2']","['Phương Thảo ngạt thở', 'Khánh Trần e ngĩ học dl để né toán', 'e tưởng e đạt học bổng .... Thư Thư TrươnggDiệu Huyền', 'Thuy Trang em cũng vậy thế mà bây giờ gần ra trường rồi em vẫn chưa thấy đc hình dáng học bổng ra sao', 'TrươnggDiệu Huyền cta là những cô bé hay tưởng', '']",13937,"Thứ bảy, 24 Tháng 2, 2024 lúc 19:30",6
[],[],[],14996,
[],[],[],16126,
